tract_id,city,ml_rank_score,demand_tier,pct_area_ev_permitted,pct_area_commercial,pct_area_industrial,pct_area_residential,dominant_zone_category,feasibility_score,data_confidence,computed_at
04013061034,"SURPRISE, AZ",0.5096,Medium,0.0405,0.0305,0.01,0.0299,Other,0.1813,High,2026-03-09T16:23:52.657997+00:00
04013061061,"SURPRISE, AZ",0.4066,Medium,0.0,0.0,0.0,0.0,Other,0.122,High,2026-03-09T16:34:37.818806+00:00
04013106002,"PHOENIX, AZ",0.7917,High,0.054,0.054,0.0,0.4907,Residential,0.2753,High,2026-03-09T15:40:20.321833+00:00
04013107402,"PHOENIX, AZ",0.8455,High,0.1521,0.1521,0.0,0.4845,Residential,0.3601,High,2026-03-09T15:28:24.676191+00:00
04013107403,"PHOENIX, AZ",0.8581,High,0.0327,0.0327,0.0,0.5233,Residential,0.2803,High,2026-03-09T15:25:44.642857+00:00
04013107404,"PHOENIX, AZ",0.8143,High,0.0934,0.0934,0.0,0.0989,Other,0.3096,High,2026-03-09T15:35:04.057506+00:00
04019980100,AZ,0.1031,Low,0.6117,0.0,0.6117,0.3804,Industrial,0.4591,High,2026-03-10T07:01:56.933766+00:00
04019980200,"TUCSON, AZ",0.1069,Low,0.4708,0.0,0.4708,0.0,Other,0.3616,High,2026-03-10T06:59:49.271150+00:00
06029000602,"BAKERSFIELD, CA",0.5116,Medium,0.3508,0.0818,0.1294,0.611,Residential,0.3991,High,2026-03-09T16:17:30.648968+00:00
06029001106,"BAKERSFIELD, CA",0.0687,Low,0.0606,0.0069,0.0536,0.9394,Residential,0.063,High,2026-03-10T07:31:04.876385+00:00
06029002502,"BAKERSFIELD, CA",0.0563,Low,0.0,0.0,0.0,0.9988,Residential,0.0169,High,2026-03-09T19:22:49.497120+00:00
06029003136,"BAKERSFIELD, CA",0.0921,Low,0.0,0.0,0.0,0.8735,Residential,0.0276,High,2026-03-10T07:10:43.526891+00:00
06029003217,"BAKERSFIELD, CA",0.0582,Low,0.072,0.0369,0.0,0.9278,Residential,0.0678,High,2026-03-09T19:21:35.217929+00:00
06029004302,"WASCO, CA",0.0445,Low,0.0,0.0,0.0,0.0,Other,0.0133,High,2026-03-09T19:41:03.168532+00:00
06029004601,CA,0.0449,Low,0.0,0.0,0.0,0.0,Other,0.0135,High,2026-03-09T19:40:26.371715+00:00
06029004603,"DELANO, CA",0.0449,Low,0.0501,0.0,0.0501,0.0,Other,0.0485,High,2026-03-09T19:40:22.199980+00:00
06029006303,"ARVIN, CA",0.04,Low,0.0124,0.0124,0.0,0.1803,Other,0.0207,High,2026-03-09T19:52:28.558637+00:00
06029006404,"LAMONT, CA",0.0396,Low,0.0235,0.0187,0.0048,0.0378,Other,0.0283,High,2026-03-09T19:52:31.995480+00:00
06037101221,"TUJUNGA, CA",0.8477,High,0.0553,0.0553,0.0,0.9447,Residential,0.2931,High,2026-03-09T15:28:00.300603+00:00
06037104203,"PACOIMA, CA",0.85,High,0.0739,0.0059,0.0681,0.1177,Other,0.3068,High,2026-03-09T15:28:18.409810+00:00
06037104321,"PACOIMA, CA",0.8296,High,0.0009,0.0009,0.0,0.0292,Other,0.2495,High,2026-03-09T15:33:30.545638+00:00
06037104404,"PACOIMA, CA",0.8465,High,0.0073,0.0034,0.0,0.0016,Other,0.2591,High,2026-03-09T15:28:58.374568+00:00
06037104500,"PACOIMA, CA",0.8449,High,0.0061,0.0061,0.0,0.0352,Other,0.2577,High,2026-03-09T15:29:22.970427+00:00
06037104610,"PACOIMA, CA",0.8436,High,0.0779,0.0245,0.0534,0.0,Other,0.3076,High,2026-03-09T15:29:59.384048+00:00
06037104620,"PACOIMA, CA",0.8474,High,0.002,0.002,0.0,0.0,Other,0.2556,High,2026-03-09T15:28:56.057010+00:00
06037104701,"PACOIMA, CA",0.8487,High,0.0093,0.0062,0.0,0.0122,Other,0.2611,High,2026-03-09T15:27:50.710729+00:00
06037104821,"PACOIMA, CA",0.8476,High,0.0838,0.0838,0.0,0.175,Other,0.3129,High,2026-03-09T15:28:20.679931+00:00
06037104822,"PACOIMA, CA",0.8394,High,0.1869,0.185,0.0,0.4962,Residential,0.3827,High,2026-03-09T15:30:13.266239+00:00
06037104823,"PACOIMA, CA",0.8308,High,0.0,0.0,0.0,0.0879,Other,0.2492,High,2026-03-09T15:33:14.830980+00:00
06037104824,"PACOIMA, CA",0.8244,High,0.0985,0.0757,0.0,0.0,Other,0.3163,High,2026-03-09T15:34:02.214815+00:00
06037106407,"SYLMAR, CA",0.7024,High,0.3076,0.3076,0.0,0.6876,Residential,0.4261,High,2026-03-09T15:50:30.995140+00:00
06037106408,"SYLMAR, CA",0.7222,High,0.0305,0.0305,0.0,0.9033,Residential,0.238,High,2026-03-09T15:47:42.062192+00:00
06037113323,"CHATSWORTH, CA",0.8324,High,0.1789,0.0577,0.0115,0.4805,Residential,0.375,High,2026-03-09T15:32:00.646597+00:00
06037113324,"CHATSWORTH, CA",0.8468,High,0.0335,0.0335,0.0,0.3142,Other,0.2775,High,2026-03-09T15:27:25.076001+00:00
06037113423,"WINNETKA, CA",0.8413,High,0.0248,0.0248,0.0,0.5484,Residential,0.2697,High,2026-03-09T15:30:29.746680+00:00
06037113425,"CHATSWORTH, CA",0.8723,High,0.3549,0.0,0.269,0.4882,Residential,0.5101,High,2026-03-09T15:20:51.397794+00:00
06037113428,"WINNETKA, CA",0.8253,High,0.0226,0.0201,0.0,0.5921,Residential,0.2634,High,2026-03-09T15:35:17.890670+00:00
06037115302,"NORTHRIDGE, CA",0.8464,High,0.2921,0.0104,0.2816,0.4881,Residential,0.4584,High,2026-03-09T15:28:57.110135+00:00
06037115403,"NORTHRIDGE, CA",0.8552,High,0.3079,0.2035,0.1011,0.5441,Residential,0.4721,High,2026-03-09T15:26:41.946485+00:00
06037117101,"NORTH HILLS, CA",0.8701,High,0.0361,0.0,0.0,0.6204,Residential,0.2863,High,2026-03-09T15:22:12.087770+00:00
06037117405,"NORTH HILLS, CA",0.8885,High,0.2751,0.2751,0.0,0.5618,Residential,0.4592,High,2026-03-09T15:18:24.240384+00:00
06037117407,"NORTH HILLS, CA",0.8934,High,0.0749,0.0458,0.0,0.7537,Residential,0.3204,High,2026-03-09T15:17:20.016272+00:00
06037117408,"NORTH HILLS, CA",0.8867,High,0.2881,0.2881,0.0,0.5672,Residential,0.4677,High,2026-03-09T15:18:55.695367+00:00
06037117510,"NORTH HILLS, CA",0.8726,High,0.0729,0.0,0.0729,0.7895,Residential,0.3128,High,2026-03-09T15:21:06.944786+00:00
06037117520,"NORTH HILLS, CA",0.8778,High,0.2206,0.2206,0.0,0.7391,Residential,0.4178,High,2026-03-09T15:20:14.460747+00:00
06037119201,"ARLETA, CA",0.8399,High,0.1191,0.1191,0.0,0.6787,Residential,0.3354,High,2026-03-09T15:31:54.675160+00:00
06037119320,"PANORAMA CITY, CA",0.8708,High,0.0142,0.0142,0.0,0.6057,Residential,0.2712,High,2026-03-09T15:22:00.512551+00:00
06037119340,"PANORAMA CITY, CA",0.9313,High,0.0,0.0,0.0,0.933,Residential,0.2794,High,2026-03-09T14:59:05.322533+00:00
06037119341,"PANORAMA CITY, CA",0.8698,High,0.0731,0.0731,0.0,0.7384,Residential,0.3121,High,2026-03-09T15:21:53.613779+00:00
06037119342,"PANORAMA CITY, CA",0.884,High,0.0187,0.0187,0.0,0.7883,Residential,0.2783,High,2026-03-09T15:18:57.829338+00:00
06037119400,"ARLETA, CA",0.8406,High,0.0408,0.0408,0.0,0.6643,Residential,0.2807,High,2026-03-09T15:32:20.301052+00:00
06037119801,"ARLETA, CA",0.8227,High,0.0465,0.0465,0.0,0.7916,Residential,0.2794,High,2026-03-09T15:34:56.678298+00:00
06037119802,"ARLETA, CA",0.8268,High,0.0296,0.0296,0.0,0.8118,Residential,0.2688,High,2026-03-09T15:34:14.848553+00:00
06037120030,"PANORAMA CITY, CA",0.8616,High,0.2514,0.0,0.2514,0.3846,Residential,0.4345,High,2026-03-09T15:24:02.754665+00:00
06037120106,"PANORAMA CITY, CA",0.9062,High,0.0,0.0,0.0,0.8627,Residential,0.2719,High,2026-03-09T15:13:22.651809+00:00
